Department,Major,Degree,School,Course Title,Course Description,Cost
Housing & Community Affairs,Accounting (Business),AA,NATIONAL ASSOCIATION OF HOUSING AND REDEVELOPMENT OFFICIALS,PRINCIPLES OF ENGLISH GRAMMER,"A study of the various aspects of English grammar, such as sentence structure, agreement, tenses, pronoun reference, and punctuation, to increase students' knowledge of the English language and to enhance their writing capabilities.",336.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3440 BUILDING CONSTRUCTION FOR FIRE PROTECTION,"Overview of building construction, building types, designs of structures, and a knowledge of building construction in relation to firefighting.",0.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3460 FIRE PROTECTION SYSTEMS,"Provides basic principles on fire protection systems, system components, sprinklers, water spray, water mist, standpipe, and ultra high-speed water spray systems.",540.00
Fire/Rescue Services,Fire Protection Engineering,AA,COLUMBIA SOUTHERN UNIVERSITY,BFS 3470 FIRE PROTECTION HYDRAULICS AND WATER SUPPLY,"Provides a foundational understanding of the use of water in fire protection, applies hydraulic principles to analyze and solve water supply problems.",540.00
Police,General Studies,AA,MONTGOMERY COMMUNITY COLLEGE,INTRODUCTION TO NUTRITION,"Study of nutrition as it relates to health and disease. Includes functions of nutrients; factors affecting nutrient intake, absorption, and utilization; and nutrient needs during the life cycle and illness. Emphasis on planning and preparing daily diets f",336.00
Correction & Rehabilitation,Not Listed,Masters (MA/MS/MPH/etc.),University of Maryland - Baltimore,SOCIAL WORK RESEARCH,"Students are provided an opportunity to learn the elements of the
scientific method and to develop basic research competence in
the context of social work practice, including the student's own.
The course is concerned with the identification and formulati",915.00
Transportation,English Language and Literature,Certificate,MONTGOMERY COUNTY COMMUNITY COLLEGE,ENGLISH,Reading & Writing 2,505.00
Human Resources,None,Non-Degree,University of Maryland - University College,RACE AND ETHNIC RELATIONS,"An analysis of race- and ethnic-related issues in society. The goal is to examine, analyze, project future trends in, and communicate effectively about minority-majority issues. Discussion covers the impact of inequality, prejudice, and discrimination on",753.00
Police,Forensic Science,Masters (MA/MS/MPH/etc.),UNIVERSITY OF FLORIDA,METABOLIC BIOCHEMISTRY,"This book based course will introduce students to the principles of anabolic and catabolic pathways and cellular energy efficiency. The course also provides an understanding of the biological, physical and chemical processes for each reaction pathway.
",1575.00
Fire/Rescue Services,Fire Science,AA,PENN FOSTER COLLEGE,FIRE PREVENTION,This course provides a foundation of theoretical information to help students understand the principles of the use of water in fire protection. Students apply hydraulic principles to analyze and to solve water supply problems.,780.00
Housing & Community Affairs,Criminology and Criminal Justice,Bachelors (BA/BS),University of Maryland - University College,CCJS 230 - INTRODUCTION TO CORRECTIONS,Criminal Law in Action,900.00
Health & Human Services,None,Non-Degree,University of Maryland - Baltimore County,SHRM PHR/SPHR,"This program is designed to prepare students for the Professional Human Resources (PHR) and Senior Professional Human Resources (SPHR) examinations. Using the SHRM Learning System which is included in the cost of tuition, participants review the six functional areas, responsibilities and associated knowledge as defined by the HR Certification Institute. Besides being an effective way to prepare for the PHR and SPHR certification exams, the SHRM Learning System also provides professional development for you and your HR Department with content that is updated with the latest HR policies and legislation. The course provides a solid foundation for managing the HR challenges you face in today's demanding work environment; is supplies a current reference of HR practices, broadens the perspective of functional specialists, and strengthens individual competencies and productivity.",1195.00
Transportation,Civil and Environmental Engineering,Certificate,School of PE,P.E. CIVIL REVIEW COURSE,"Our PE Civil Exam Review Course offers thorough review of majority of the topics from all five modules (Construction, Geotechnical, Structural, Transportation, and Water Resources & Environmental) that will be covered on the PE Civil Exam.",1190.00
Health & Human Services,Social Work,Bachelors (BA/BS),BOWIE STATE UNIVERSITY,SOCIAL WORK METHODS II,"This is the second course of the methods sequence. Builds on the conceptual framework that covers the basic elements of social work practice by focusing attention on the inventive,
evaluative, and termination phases of the social work process.",621.00
Health & Human Services,Social Work,Bachelors (BA/BS),BOWIE STATE UNIVERSITY,FIELD INSTRUCTION I,"A course designed to provide practice experience through placement in a community agency or program. Emphasis placed on understanding the programs and services of the agency, together with interviewing, initial contact with clients, data collection and re",1035.00
Recreation,Government and Politics,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD 630 - ANALYTICAL TECHNIQUES,"Review of analytical techniques conventionally used in the planning, formulation and implementation of public policy. Topics include forecasting techniques, cost-benefit analysis, PERT and other commonly used techniques.",915.00
Recreation,Government and Politics,Masters (MA/MS/MPH/etc.),UNIVERSITY OF BALTIMORE,PUAD - 732 - LEADERSHIP AND ORGANIZATIONAL CHANGE,"Nature of technological and environmental change as it affects the management decisions of the agency. Techniques for organizational change, including diversified but integrative decision-making structures and techniques, implementation techniques, enforc",915.00
Health & Human Services,Health & Human Services,Bachelors (BA/BS),University of Maryland - University College,INTRODUCITON TO SOCIAL SCIENCES,"An interdisciplinary introduction to the study of society that addresses the issue of what it is to be a social scientist from a variety of social science perspectives. The objective is to use the empirical and theoretical contributions of the different social science disciplines to better understand the nature of society. Topics include research methods in the social science disciplines and the relationships among the different social science disciplines. Discussion surveys the various social sciences, including psychology, sociology, anthropology, and gerontology. A historical overview of the development of the social sciences is provided, and an analysis of social phenomena that integrates insights from the social sciences is presented.",753.00
Health & Human Services,Health & Human Services,Bachelors (BA/BS),University of Maryland - University College,DIVERSITY AWARENESS  BEHS 220,"An examination of the many dimensions of diversity within the framework of modern culture and principles of social justice. The aim is to interact and communicate effectively and appropriately within a diverse society. Emphasis is on raising consciousness of diversity and using critical thinking with respect to stereotypes, prejudice, and discrimination. Discussion covers issues related to age, disability, race, religion, gender, sexual orientation, national origin, and socioeconomic status, as well as current issues in diversity studies.",753.00
